task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,compressed_initializers,compressed_initializer_elements
task127,outputs\onnx\task127.onnx,outputs\candidates\dtype_ablation_20260609\task127_InitializerDtypeCompression.onnx,4500,1800,-2700,3772,1129,-2643,1,1,1,900
task128,outputs\onnx\task128.onnx,outputs\candidates\dtype_ablation_20260609\task128_InitializerDtypeCompression.onnx,906,906,0,3365,3365,0,13,13,0,0
task129,outputs\onnx\task129.onnx,outputs\candidates\dtype_ablation_20260609\task129_InitializerDtypeCompression.onnx,258,258,0,1196,1196,0,10,10,0,0
task130,outputs\onnx\task130.onnx,outputs\candidates\dtype_ablation_20260609\task130_InitializerDtypeCompression.onnx,608,368,-240,1293,1111,-182,5,5,1,80
task131,outputs\onnx\task131.onnx,outputs\candidates\dtype_ablation_20260609\task131_InitializerDtypeCompression.onnx,4943,2243,-2700,12030,9411,-2619,17,17,1,900
task132,outputs\onnx\task132.onnx,outputs\candidates\dtype_ablation_20260609\task132_InitializerDtypeCompression.onnx,436,436,0,3762,3762,0,16,16,0,0
task133,outputs\onnx\task133.onnx,outputs\candidates\dtype_ablation_20260609\task133_InitializerDtypeCompression.onnx,1406822,463892,-942930,783434,295265,-488169,167,167,10,227910
task134,outputs\onnx\task134.onnx,outputs\candidates\dtype_ablation_20260609\task134_InitializerDtypeCompression.onnx,600,600,0,7220,7220,0,25,25,0,0
task135,outputs\onnx\task135.onnx,outputs\candidates\dtype_ablation_20260609\task135_InitializerDtypeCompression.onnx,54,54,0,381,381,0,3,3,0,0
task136,outputs\onnx\task136.onnx,outputs\candidates\dtype_ablation_20260609\task136_InitializerDtypeCompression.onnx,2229,1029,-1200,4980,4190,-790,17,17,4,400
task137,outputs\onnx\task137.onnx,outputs\candidates\dtype_ablation_20260609\task137_InitializerDtypeCompression.onnx,2028,2028,0,3864,3864,0,9,9,0,0
task138,outputs\onnx\task138.onnx,outputs\candidates\dtype_ablation_20260609\task138_InitializerDtypeCompression.onnx,789,789,0,11562,11562,0,11,11,0,0
task139,outputs\onnx\task139.onnx,outputs\candidates\dtype_ablation_20260609\task139_InitializerDtypeCompression.onnx,988,988,0,3865,3865,0,22,22,0,0
task140,outputs\onnx\task140.onnx,outputs\candidates\dtype_ablation_20260609\task140_InitializerDtypeCompression.onnx,144,144,0,474,474,0,5,5,0,0
task141,outputs\onnx\task141.onnx,outputs\candidates\dtype_ablation_20260609\task141_InitializerDtypeCompression.onnx,409,409,0,2345,2345,0,10,10,0,0
task142,outputs\onnx\task142.onnx,outputs\candidates\dtype_ablation_20260609\task142_InitializerDtypeCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task143,outputs\onnx\task143.onnx,outputs\candidates\dtype_ablation_20260609\task143_InitializerDtypeCompression.onnx,465,465,0,2690,2690,0,15,15,0,0
task144,outputs\onnx\task144.onnx,outputs\candidates\dtype_ablation_20260609\task144_InitializerDtypeCompression.onnx,322,322,0,1639,1639,0,8,8,0,0
task145,outputs\onnx\task145.onnx,outputs\candidates\dtype_ablation_20260609\task145_InitializerDtypeCompression.onnx,2979,2079,-900,31434,30612,-822,34,34,1,900
task146,outputs\onnx\task146.onnx,outputs\candidates\dtype_ablation_20260609\task146_InitializerDtypeCompression.onnx,203,203,0,1894,1894,0,10,10,0,0
task147,outputs\onnx\task147.onnx,outputs\candidates\dtype_ablation_20260609\task147_InitializerDtypeCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task148,outputs\onnx\task148.onnx,outputs\candidates\dtype_ablation_20260609\task148_InitializerDtypeCompression.onnx,1873,1009,-864,10573,9769,-804,16,16,1,288
task149,outputs\onnx\task149.onnx,outputs\candidates\dtype_ablation_20260609\task149_InitializerDtypeCompression.onnx,232,232,0,1404,1404,0,7,7,0,0
task150,outputs\onnx\task150.onnx,outputs\candidates\dtype_ablation_20260609\task150_InitializerDtypeCompression.onnx,302,302,0,1320,1320,0,5,5,0,0
task151,outputs\onnx\task151.onnx,outputs\candidates\dtype_ablation_20260609\task151_InitializerDtypeCompression.onnx,525,525,0,2352,2352,0,14,14,0,0
task152,outputs\onnx\task152.onnx,outputs\candidates\dtype_ablation_20260609\task152_InitializerDtypeCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task153,outputs\onnx\task153.onnx,outputs\candidates\dtype_ablation_20260609\task153_InitializerDtypeCompression.onnx,3320,3320,0,799256,799256,0,97,97,0,0
task154,outputs\onnx\task154.onnx,outputs\candidates\dtype_ablation_20260609\task154_InitializerDtypeCompression.onnx,4966,2266,-2700,7650,5031,-2619,8,8,1,900
task155,outputs\onnx\task155.onnx,outputs\candidates\dtype_ablation_20260609\task155_InitializerDtypeCompression.onnx,311,311,0,1347,1347,0,6,6,0,0
task156,outputs\onnx\task156.onnx,outputs\candidates\dtype_ablation_20260609\task156_InitializerDtypeCompression.onnx,2979,2079,-900,7856,7031,-825,15,15,1,900
task157,outputs\onnx\task157.onnx,outputs\candidates\dtype_ablation_20260609\task157_InitializerDtypeCompression.onnx,809080,479590,-329490,677188,348286,-328902,36,36,6,160638
task158,outputs\onnx\task158.onnx,outputs\candidates\dtype_ablation_20260609\task158_InitializerDtypeCompression.onnx,4613,3113,-1500,95337,94087,-1250,101,101,3,500
