task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task151,outputs\onnx\task151.onnx,outputs\candidates\deduplicated_all\task151_DeduplicateInitializers.onnx,525,525,0,2352,2352,0,14,14,0,0
task152,outputs\onnx\task152.onnx,outputs\candidates\deduplicated_all\task152_DeduplicateInitializers.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task153,outputs\onnx\task153.onnx,outputs\candidates\deduplicated_all\task153_DeduplicateInitializers.onnx,26811,3320,-23491,862351,799256,-63095,1348,97,0,1251
task154,outputs\onnx\task154.onnx,outputs\candidates\deduplicated_all\task154_DeduplicateInitializers.onnx,4966,4966,0,7650,7650,0,8,8,0,0
task155,outputs\onnx\task155.onnx,outputs\candidates\deduplicated_all\task155_DeduplicateInitializers.onnx,311,311,0,1347,1347,0,6,6,0,0
task156,outputs\onnx\task156.onnx,outputs\candidates\deduplicated_all\task156_DeduplicateInitializers.onnx,2979,2979,0,7856,7856,0,15,15,0,0
task157,outputs\onnx\task157.onnx,outputs\candidates\deduplicated_all\task157_DeduplicateInitializers.onnx,1008489,1008484,-5,836955,836920,-35,37,36,1,0
task158,outputs\onnx\task158.onnx,outputs\candidates\deduplicated_all\task158_DeduplicateInitializers.onnx,4613,4613,0,95337,95337,0,101,101,0,0
task159,outputs\onnx\task159.onnx,outputs\candidates\deduplicated_all\task159_DeduplicateInitializers.onnx,12549,12549,0,12966,12966,0,16,16,0,0
task160,outputs\onnx\task160.onnx,outputs\candidates\deduplicated_all\task160_DeduplicateInitializers.onnx,571,571,0,2362,2362,0,13,13,0,0
task161,outputs\onnx\task161.onnx,outputs\candidates\deduplicated_all\task161_DeduplicateInitializers.onnx,389,389,0,6008,6008,0,18,18,0,0
task162,outputs\onnx\task162.onnx,outputs\candidates\deduplicated_all\task162_DeduplicateInitializers.onnx,183,183,0,2268,2268,0,11,11,0,0
task163,outputs\onnx\task163.onnx,outputs\candidates\deduplicated_all\task163_DeduplicateInitializers.onnx,9439,9439,0,13875,13875,0,22,22,0,0
task164,outputs\onnx\task164.onnx,outputs\candidates\deduplicated_all\task164_DeduplicateInitializers.onnx,270,270,0,479,479,0,1,1,0,0
task165,outputs\onnx\task165.onnx,outputs\candidates\deduplicated_all\task165_DeduplicateInitializers.onnx,3162,3162,0,4910,4910,0,15,15,0,0
task166,outputs\onnx\task166.onnx,outputs\candidates\deduplicated_all\task166_DeduplicateInitializers.onnx,289,289,0,1628,1628,0,8,8,0,0
task167,outputs\onnx\task167.onnx,outputs\candidates\deduplicated_all\task167_DeduplicateInitializers.onnx,1562,1562,0,2375,2375,0,9,9,0,0
task168,outputs\onnx\task168.onnx,outputs\candidates\deduplicated_all\task168_DeduplicateInitializers.onnx,1505,1505,0,7297,7297,0,11,11,0,0
task169,outputs\onnx\task169.onnx,outputs\candidates\deduplicated_all\task169_DeduplicateInitializers.onnx,4799,4799,0,23816,23816,0,71,71,0,0
task170,outputs\onnx\task170.onnx,outputs\candidates\deduplicated_all\task170_DeduplicateInitializers.onnx,19255,19255,0,64849,64849,0,33,33,0,0
task171,outputs\onnx\task171.onnx,outputs\candidates\deduplicated_all\task171_DeduplicateInitializers.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task172,outputs\onnx\task172.onnx,outputs\candidates\deduplicated_all\task172_DeduplicateInitializers.onnx,270,270,0,479,479,0,1,1,0,0
task173,outputs\onnx\task173.onnx,outputs\candidates\deduplicated_all\task173_DeduplicateInitializers.onnx,751,751,0,10108,10108,0,23,23,0,0
task174,outputs\onnx\task174.onnx,outputs\candidates\deduplicated_all\task174_DeduplicateInitializers.onnx,614,614,0,61839,61839,0,24,24,0,0
task175,outputs\onnx\task175.onnx,outputs\candidates\deduplicated_all\task175_DeduplicateInitializers.onnx,13787,13760,-27,12412,12320,-92,15,12,0,3
task176,outputs\onnx\task176.onnx,outputs\candidates\deduplicated_all\task176_DeduplicateInitializers.onnx,696,696,0,1420,1420,0,9,9,0,0
task177,outputs\onnx\task177.onnx,outputs\candidates\deduplicated_all\task177_DeduplicateInitializers.onnx,945,945,0,4180,4180,0,12,12,0,0
task178,outputs\onnx\task178.onnx,outputs\candidates\deduplicated_all\task178_DeduplicateInitializers.onnx,3009,3009,0,11303,11303,0,30,30,0,0
task179,outputs\onnx\task179.onnx,outputs\candidates\deduplicated_all\task179_DeduplicateInitializers.onnx,0,0,0,170,170,0,0,0,0,0
task180,outputs\onnx\task180.onnx,outputs\candidates\deduplicated_all\task180_DeduplicateInitializers.onnx,4658,4658,0,4414,4414,0,5,5,0,0
task181,outputs\onnx\task181.onnx,outputs\candidates\deduplicated_all\task181_DeduplicateInitializers.onnx,672,672,0,3083,3083,0,21,21,0,0
